Machine ID,Machine QR code URL
SC-13-064,https://vxqr.org/sn/SC-13-064#MEYCIQDanPrJ20A-cYq4t530E5AUBJe58BAfs3CaQ0rB8n6Y-AIhALXdd68jx-bgMonRb9zif99biZ8u6kdaozgtjdNC-2mH
SC-13-065,https://vxqr.org/sn/SC-13-065#MEUCIBICMvGtg-0w0PeZwSmfSerikGIlH-ONPzgy6XENUmKIAiEA0d5e_EK1iVGT39uUBCgvgrCsuINWSJ5--EGKf9q_oVc
SC-13-066,https://vxqr.org/sn/SC-13-066#MEYCIQCMcK5HNmq2qesS1yUn0TVTRAj3EBbl701lcHTPmmNZiAIhAOTnYLX90lALbELilz0xOEpEq8zayRe6yDpDuah3zgb6
SC-13-067,https://vxqr.org/sn/SC-13-067#MEQCIC7OuyXfeSagH7On9bWoiTFYbPS2aug_GNE4kayn99YOAiBLEqoogvMVaLAwDy3hd4LpAR_AOUke-h5HJKFEcXgV1Q
SC-13-068,https://vxqr.org/sn/SC-13-068#MEUCIAwX0rguq2mLaqTvFTUo8ulVA0hu_20uH_VH-nmxmpYwAiEA0rlEc-bzTLbbxTmDfFWPsvJ1hxL5VXOHsEZqVI7fD2w
SC-13-069,https://vxqr.org/sn/SC-13-069#MEQCICjLeBQF3apQvPIPSKuvpL-DcrNEb4RaRTsy5YYb8i_4AiBo4CPTFIqXH9KwncSbsTJ5ZYwDUqYQsikDsFNLLySN0A
SC-13-070,https://vxqr.org/sn/SC-13-070#MEQCICeHc0lR0R_f21VzZzH3UUROCFE3tr9ggkj9TaneVXK4AiBJCtfOWkmD4LzLuixf52fldNMpHw209YKOCL2l6vvG4Q
SC-13-071,https://vxqr.org/sn/SC-13-071#MEUCIQD1R6uAh3X5pmdHoAdXOtWEF_8cws1hMZTbPO98cblc4AIgZAMzIzPTATZai65Ud-kXNHIXZ0Hu3tgMMd7cnXFHgjk
SC-13-072,https://vxqr.org/sn/SC-13-072#MEUCIE4S3320D4neJiPB8rkpuAdFbrOXsA6c536N4KOyXb46AiEAuVS2EZuRUqb8-G1O_C2ht71QP5392ixr06B-TwJuVDc
SC-13-073,https://vxqr.org/sn/SC-13-073#MEYCIQCRsHVVcC15tUD32YM_ZycMqRypoxztSC4x4BkmstwBgwIhAI5IBMmheywq4DeZpls4bjZHJ_MIQ6Hh7tSNGk57EKMr
SC-13-074,https://vxqr.org/sn/SC-13-074#MEUCIBP9JA5ttvnt6Ag6iUTKAcUwRP8OcgiP69A4FnqGIORKAiEAiUdkp0_tYCfAehqzHwSk219JcwTCi9Er7dZMzcSZrIM
SC-13-075,https://vxqr.org/sn/SC-13-075#MEYCIQD0NAqOSXbXvPOELW0E2_6Fx9WHzAnT3F9nYqtt2L9TvAIhAOBBwu3NnFs9W55WdGg8etND-JjO3oj7rAHxD0cVVVIk
SC-13-076,https://vxqr.org/sn/SC-13-076#MEQCIDXWnWroTk2elJ8XGeo1VojmeFihWtDe9b8HHToJs3hcAiAYY8u5yiiHy2KSpswnDqj896m7k08x2Iet4FtDgz7igA
SC-13-077,https://vxqr.org/sn/SC-13-077#MEUCICCZxqAAVB9loyTeLZu8X9TNrbB7tTTcpY47lCAt9J8QAiEAk8CK15os60U3-JRFiC_8MHNIaG-9GLNtjKXQWS5Wa1Y
SC-13-078,https://vxqr.org/sn/SC-13-078#MEUCIBrc3ruqwDxoLz2EVKdAzBR4MF3fVITzcqf5-d__aUO2AiEA8nCd2rg6OlGU6t9MfCeStb45_-R8Zp_7fTwxwS6ocfw
SC-13-079,https://vxqr.org/sn/SC-13-079#MEQCICaX22Cvs3-WWALGa0L4aMLChOT8R_RSl17xFpWKcTVxAiAV8s6Wd45FqNJSJHVWeSkPW3wOXT2fHl_g5gfV3X_ebw
SC-13-080,https://vxqr.org/sn/SC-13-080#MEUCIQCCeydX6uuSQKr8vA-uuCOMmT4VroikOFL58HirlGPssgIgff818XXAtsnNicXIjQoq_t3_eWM1VTqHGh3dYjWi4i8
SC-13-081,https://vxqr.org/sn/SC-13-081#MEUCIQDFETY0vPC1y0pLZ0L-skls_JKd_8po82xygxjh4MopZgIgEr4pu3NH19WH3x4g8OCe-h73jbyvyjGKKV4rEv5tvx4
SC-13-082,https://vxqr.org/sn/SC-13-082#MEQCIHv_cK09_eUBEp15YaiLCXJz5WDpOZPy2ORsHiQ4-KqjAiB9euQ3UbrJQnqhIGQoKoDHnw_EtWk_b5hKEF0djKR_eA
SC-13-083,https://vxqr.org/sn/SC-13-083#MEYCIQCuyd-_kXSSlR7X_1N5aT4v8xGyIv_ONpdOLuiXyoFhjgIhALSg2qPphjI6fczXCHQHRrnSAaNgEDxt5Wj4qBU9W3vt
SC-13-084,https://vxqr.org/sn/SC-13-084#MEYCIQC459sX320LceY79joymvxeNXrqWmzeG6Pfrd2LTRUVcwIhAKb4UfRvAWT0s8mpgpRTvD3zIvnalbGZpQl_7_KiNBe4
SC-13-085,https://vxqr.org/sn/SC-13-085#MEUCIQCXENpZ2AyCtkL8cgoMiKHMuWZQs2h2BohzDBW5PVeMqgIgXFQQeLIlRRzXmLNzlAacZPhCAzHQjLzykpOJEH1FuEY
SC-13-086,https://vxqr.org/sn/SC-13-086#MEQCICQ4UF4CsCid4IuBKIU0ejE3zs233glMsbisLl2Ruh7SAiBhyVXF7gYmdAHWVykgafrLkIKDXLJaZzJGc6u5380wdg
SC-13-087,https://vxqr.org/sn/SC-13-087#MEYCIQDakrqkV04hho7zQYVZG9B9tV4FUNpq2szLTqAGazODVQIhAKKF0kcq2u4mbAWAvb4JImZF4JHaYsAUEwr8eY-R0rI8
SC-13-088,https://vxqr.org/sn/SC-13-088#MEQCIAIQTn4_pYOTiqvaZVdpTVbjUiWJyzvIuDaJsZXxw5lkAiAi4IxWuTsSajaHxLIHAmirciRfLr6ZcixIen5ZWg_Qzw
SC-13-089,https://vxqr.org/sn/SC-13-089#MEYCIQDd5J8OIgVxlIrQ5NQVbg4_GCvRDj3B3ShGXsN01T-LDQIhAJI-rg6oN9DyPQee4mlu7F704hWMXM-4RMygc9ZIJk9T
SC-13-090,https://vxqr.org/sn/SC-13-090#MEYCIQC2E_H_kTi84bF5FXewaRbt0R-d0EPrpMIWz6h1QVpxaQIhAPAhX9Nn8NJ8JOe_bj2ekp3a5fFIZu27OavB00-nUwVg
SC-13-091,https://vxqr.org/sn/SC-13-091#MEYCIQDyez1yf-OBRpsPqsH3CeQ9VHYA-ZUNyEeBQY7ItMESfAIhAOpH8zHBtWRcyB1ZPcCgazfdzArFr-vRKBe6fFVVonuu
SC-13-092,https://vxqr.org/sn/SC-13-092#MEUCIQDyW6zwVWyRRRcczMA-KFMMJ3CEQdgOeYXt5d7CiRC7zAIgdh6JpHunp5uuQNO4jfl0CUTe9cB0hbB4lfZJ7CPTBTU
SC-13-093,https://vxqr.org/sn/SC-13-093#MEYCIQCEgD6lDUVTNxeArMG1ehhi_6VkL1vJYxy4euMWssI77wIhAJZPvUwvNM5JQBZ2C1NtmskBErD3sLEc4fA2wVv3HVY0
SC-13-094,https://vxqr.org/sn/SC-13-094#MEYCIQCkK00TqCQk6jPbF787s70L3M-bmRDf77Nfhd7qMcbssQIhAIQFxeh6sRJDOV8R-K1Qd5DnudVvzf7vdpxm-7f7rpRd
SC-13-095,https://vxqr.org/sn/SC-13-095#MEYCIQCuPQaYxsGxHcpO4VCCTZ9BUR1A2oaobZp_c-_89c-b1wIhAL9yCKGICq_Pp_OZXZRxf7D79heV0q--3JBMC0v9Zdda
SC-13-096,https://vxqr.org/sn/SC-13-096#MEUCIQDtQblVfLM6_b_DUA7RUXhs9ZJVlKo31eszEPl4vJbjeAIgaj78e3YfcYp9xB0KsiG7FDDua4u03vUMuhGTAcEKb5g
SC-13-097,https://vxqr.org/sn/SC-13-097#MEQCIHW_Su85ihJUS0lM3l1TZWNYqWAR2w7NoTMerl_j8sE0AiBm7aBm1idiJOYd3Htkb7EqbfeMQ4aYJicPTp3I7T8NQQ
SC-13-098,https://vxqr.org/sn/SC-13-098#MEYCIQCPNIdKfw8-PxewFqPh0FoWfeYoxiIMwO2-_8rxnJjjjAIhAJovNg6kap_wkhLUZvnsmoLA8Mjajsn8pGMW8jKMRPGd
SC-13-099,https://vxqr.org/sn/SC-13-099#MEUCIQCi9tzosp0cZ8HynbhhLsR1rBohvt29U5hr2_eoro_ulgIgLxTQnFB9IvCc2F355wUs2qCdOO_VQJycVs-qEVwCWrM
SC-13-100,https://vxqr.org/sn/SC-13-100#MEUCIE1xqfON3ZqBvTT_qwUTYEYf3pm_jfbZXCLeqBQKnjlEAiEA9Hf2w_9s-u2-_cjeTXIDcCAFPK-4cA4cYfGLGZ_jkGk
